logid,ts,lat,lng,message,userid,lap,Correct Time
2560,13/05/2023 7:04,-37.79692688,144.9691923,Alert-33 B,gr2.03,5,13/05/2023 17:04
2559,13/05/2023 7:04,-37.79687714,144.9692067,Alert-33 B,gr2.03,5,13/05/2023 17:04
2558,13/05/2023 7:04,-37.79646183,144.9692771,Alert-33 A,gr2.03,5,13/05/2023 17:04
2557,13/05/2023 7:03,-37.79640032,144.9692791,Alert-33 A,gr2.03,5,13/05/2023 17:03
2556,13/05/2023 7:02,-37.79779766,144.9703846,Alert-25 B,gr2.03,5,13/05/2023 17:02
2555,13/05/2023 7:02,-37.79814168,144.9703299,Alert-25 A,gr2.03,5,13/05/2023 17:02
2554,13/05/2023 7:02,-37.79907103,144.9701576,Alert-41 C,gr2.03,5,13/05/2023 17:02
2553,13/05/2023 7:02,-37.79959358,144.9700425,Alert-41 B,gr2.03,5,13/05/2023 17:02
2552,13/05/2023 7:02,-37.80015885,144.969931,Alert-41 A,gr2.03,5,13/05/2023 17:02
2551,13/05/2023 7:02,-37.80023522,144.9699162,Alert-41 A,gr2.03,5,13/05/2023 17:02
2550,13/05/2023 6:48,-37.79694118,144.9691817,Alert-33 B,gr2.03,2,13/05/2023 16:48
2549,13/05/2023 6:48,-37.79689059,144.9691905,Alert-33 B,gr2.03,2,13/05/2023 16:48
2548,13/05/2023 6:48,-37.79645478,144.9692777,Alert-33 A,gr2.03,2,13/05/2023 16:48
2547,13/05/2023 6:48,-37.79640042,144.9692823,Alert-33 A,gr2.03,2,13/05/2023 16:48
2546,13/05/2023 6:47,-37.79779198,144.9703648,Alert-25 B,gr2.03,2,13/05/2023 16:47
2545,13/05/2023 6:46,-37.79817009,144.9703046,Alert-25 A,gr2.03,2,13/05/2023 16:46
2544,13/05/2023 6:46,-37.79909366,144.9701127,Alert-41 C,gr2.03,2,13/05/2023 16:46
2543,13/05/2023 6:46,-37.79961628,144.9700173,Alert-41 B,gr2.03,2,13/05/2023 16:46
2542,13/05/2023 6:46,-37.80020447,144.9699125,Alert-41 A,gr2.03,2,13/05/2023 16:46
2541,13/05/2023 6:42,-37.79642995,144.9692878,Alert-33 A,gr2.03,1,13/05/2023 16:42
2540,13/05/2023 6:41,-37.79812497,144.9703179,Alert-25 A,gr2.03,1,13/05/2023 16:41
2539,13/05/2023 6:41,-37.79819473,144.9702929,Alert-25 A,gr2.03,1,13/05/2023 16:41
2538,13/05/2023 6:40,-37.80023182,144.9699283,Alert-41 A,gr2.03,1,13/05/2023 16:40
2537,13/05/2023 6:21,-37.79691167,144.9691988,Alert-33 B,gr3.10,5,13/05/2023 16:21
2536,13/05/2023 6:21,-37.79643316,144.9692619,Alert-33 A,gr3.10,5,13/05/2023 16:21
2535,13/05/2023 6:20,-37.79777571,144.9703881,Alert-25 B,gr3.10,5,13/05/2023 16:20
2534,13/05/2023 6:20,-37.79813719,144.9703305,Alert-25 A,gr3.10,5,13/05/2023 16:20
2533,13/05/2023 6:20,-37.79906536,144.970122,Alert-41 C,gr3.10,5,13/05/2023 16:20
2532,13/05/2023 6:20,-37.7995838,144.970022,Alert-41 B,gr3.10,5,13/05/2023 16:20
2531,13/05/2023 6:19,-37.80018088,144.9699057,Alert-41 A,gr3.10,5,13/05/2023 16:19
2530,13/05/2023 6:16,-37.79645115,144.9692767,Alert-33 A,gr3.10,4,13/05/2023 16:16
2529,13/05/2023 6:15,-37.79814278,144.9702976,Alert-25 A,gr3.10,4,13/05/2023 16:15
2528,13/05/2023 6:14,-37.80018295,144.9699172,Alert-41 A,gr3.10,4,13/05/2023 16:14
2527,13/05/2023 6:10,-37.79693622,144.9692,Alert-33 B,gr3.130,1,13/05/2023 16:10
2526,13/05/2023 6:10,-37.79690413,144.969204,Alert-33 B,gr3.130,1,13/05/2023 16:10
2525,13/05/2023 6:10,-37.79646911,144.9692809,Alert-33 A,gr3.130,1,13/05/2023 16:10
2524,13/05/2023 6:10,-37.79643611,144.969292,Alert-33 A,gr3.130,1,13/05/2023 16:10
2523,13/05/2023 6:10,-37.79639932,144.9692966,Alert-33 A,gr3.130,1,13/05/2023 16:10
2522,13/05/2023 6:09,-37.79779837,144.9703543,Alert-25 B,gr3.130,1,13/05/2023 16:09
2521,13/05/2023 6:09,-37.79817556,144.9703033,Alert-25 A,gr3.130,1,13/05/2023 16:09
2520,13/05/2023 6:09,-37.79902942,144.9701218,Alert-41 C,gr3.130,1,13/05/2023 16:09
2519,13/05/2023 6:09,-37.79906717,144.9701189,Alert-41 C,gr3.130,1,13/05/2023 16:09
2518,13/05/2023 6:09,-37.79909541,144.9701162,Alert-41 C,gr3.130,1,13/05/2023 16:09
2517,13/05/2023 6:08,-37.79956685,144.9700387,Alert-41 B,gr3.130,1,13/05/2023 16:08
2516,13/05/2023 6:08,-37.80016016,144.9699317,Alert-41 A,gr3.130,1,13/05/2023 16:08
2515,13/05/2023 6:08,-37.80023205,144.9699163,Alert-41 A,gr3.130,1,13/05/2023 16:08
2514,13/05/2023 6:08,-37.7969439,144.9691938,Alert-33 B,gr2.10,2,13/05/2023 16:08
2513,13/05/2023 6:08,-37.7969062,144.9691997,Alert-33 B,gr2.10,2,13/05/2023 16:08
2512,13/05/2023 6:08,-37.7964636,144.9692857,Alert-33 A,gr2.10,2,13/05/2023 16:08
2511,13/05/2023 6:08,-37.7964491,144.9692854,Alert-33 A,gr2.10,2,13/05/2023 16:08
2510,13/05/2023 6:08,-37.7964366,144.9692865,Alert-33 A,gr2.10,2,13/05/2023 16:08
2509,13/05/2023 6:07,-37.7964154,144.969288,Alert-33 A,gr2.10,2,13/05/2023 16:07
2508,13/05/2023 6:07,-37.7964001,144.9692893,Alert-33 A,gr2.10,2,13/05/2023 16:07
2507,13/05/2023 6:06,-37.7978385,144.9703465,Alert-25 B,gr2.10,2,13/05/2023 16:06
2506,13/05/2023 6:06,-37.79750414,144.9703899,BP,gr3.10,2,13/05/2023 16:06
2505,13/05/2023 6:06,-37.79750414,144.9703899,BP,gr3.10,2,13/05/2023 16:06
2504,13/05/2023 6:06,-37.7981263,144.9703253,Alert-25 A,gr2.10,2,13/05/2023 16:06
2503,13/05/2023 6:06,-37.7981977,144.9703222,Alert-25 A,gr2.10,2,13/05/2023 16:06
2502,13/05/2023 6:06,-37.7990737,144.9701397,Alert-41 C,gr2.10,2,13/05/2023 16:06
2501,13/05/2023 6:06,-37.7995789,144.9700436,Alert-41 B,gr2.10,2,13/05/2023 16:06
2500,13/05/2023 6:06,-37.8001579,144.9699385,Alert-41 A,gr2.10,2,13/05/2023 16:06
2499,13/05/2023 6:06,-37.8002198,144.9699281,Alert-41 A,gr2.10,2,13/05/2023 16:06
2498,13/05/2023 6:03,-37.79687926,144.9691905,Alert-33 B,gr3.10,1,13/05/2023 16:03
2497,13/05/2023 6:03,-37.7964699,144.9692683,Alert-33 A,gr3.10,1,13/05/2023 16:03
2496,13/05/2023 6:03,-37.79640677,144.9692659,Alert-33 A,gr3.10,1,13/05/2023 16:03
2495,13/05/2023 6:02,-37.79779168,144.9703443,Alert-25 B,gr3.10,1,13/05/2023 16:02
2494,13/05/2023 6:02,-37.79812066,144.9702909,Alert-25 A,gr3.10,1,13/05/2023 16:02
2493,13/05/2023 6:02,-37.79818707,144.970281,Alert-25 A,gr3.10,1,13/05/2023 16:02
2492,13/05/2023 6:02,-37.79903958,144.9701164,Alert-41 C,gr3.10,1,13/05/2023 16:02
2491,13/05/2023 6:02,-37.79906476,144.9701187,Alert-41 C,gr3.10,1,13/05/2023 16:02
2490,13/05/2023 6:02,-37.79907768,144.9701178,Alert-41 C,gr3.10,1,13/05/2023 16:02
2489,13/05/2023 6:02,-37.7990895,144.9701184,Alert-41 C,gr3.10,1,13/05/2023 16:02
2488,13/05/2023 6:02,-37.79910105,144.9701148,Alert-41 C,gr3.10,1,13/05/2023 16:02
2487,13/05/2023 6:02,-37.79957449,144.9700311,Alert-41 B,gr3.10,1,13/05/2023 16:02
2486,13/05/2023 6:01,-37.80020249,144.9699118,Alert-41 A,gr3.10,1,13/05/2023 16:01
2485,13/05/2023 5:59,-37.7964571,144.9692802,Alert-33 A,gr2.10,1,13/05/2023 15:59
2484,13/05/2023 5:59,-37.7964405,144.969283,Alert-33 A,gr2.10,1,13/05/2023 15:59
2483,13/05/2023 5:59,-37.7964248,144.9692857,Alert-33 A,gr2.10,1,13/05/2023 15:59
2482,13/05/2023 5:59,-37.7964157,144.9692866,Alert-33 A,gr2.10,1,13/05/2023 15:59
2481,13/05/2023 5:57,-37.7981234,144.9703223,Alert-25 A,gr2.10,1,13/05/2023 15:57
2480,13/05/2023 5:57,-37.7981601,144.9703155,Alert-25 A,gr2.10,1,13/05/2023 15:57
2479,13/05/2023 5:57,-37.7982012,144.9703091,Alert-25 A,gr2.10,1,13/05/2023 15:57
2478,13/05/2023 5:57,-37.8001812,144.9699323,Alert-41 A,gr2.10,1,13/05/2023 15:57
2477,13/05/2023 5:51,-37.79692423,144.9692042,Alert-33 B,gr3.10,1,13/05/2023 15:51
2476,13/05/2023 5:51,-37.79641698,144.9692616,Alert-33 A,gr3.10,1,13/05/2023 15:51
2475,13/05/2023 5:48,-37.7964547,144.9692788,Alert-33 A,gr2.10,1,13/05/2023 15:48
2474,13/05/2023 5:48,-37.7964286,144.9692848,Alert-33 A,gr2.10,1,13/05/2023 15:48
2473,13/05/2023 5:48,-37.796409,144.9692877,Alert-33 A,gr2.10,1,13/05/2023 15:48
2472,13/05/2023 5:47,-37.79691661,144.9691919,Alert-33 B,gr1.10,3,13/05/2023 15:47
2471,13/05/2023 5:47,-37.79688064,144.9691974,Alert-33 B,gr1.10,3,13/05/2023 15:47
2470,13/05/2023 5:46,-37.79646055,144.9692699,Alert-33 A,gr1.10,3,13/05/2023 15:46
2469,13/05/2023 5:46,-37.79641524,144.9692765,Alert-33 A,gr1.10,3,13/05/2023 15:46
2468,13/05/2023 5:44,-37.7977884,144.9703657,Alert-25 B,gr1.10,3,13/05/2023 15:44
2467,13/05/2023 5:44,-37.79782519,144.9703517,Alert-25 B,gr1.10,3,13/05/2023 15:44
2466,13/05/2023 5:44,-37.79815401,144.9702865,Alert-25 A,gr1.10,3,13/05/2023 15:44
2465,13/05/2023 5:44,-37.79819599,144.9702774,Alert-25 A,gr1.10,3,13/05/2023 15:44
2464,13/05/2023 5:44,-37.7990393,144.9701128,Alert-41 C,gr1.10,3,13/05/2023 15:44
2463,13/05/2023 5:44,-37.79906599,144.9701087,Alert-41 C,gr1.10,3,13/05/2023 15:44
2462,13/05/2023 5:44,-37.79908719,144.9701044,Alert-41 C,gr1.10,3,13/05/2023 15:44
2461,13/05/2023 5:44,-37.79909898,144.9701012,Alert-41 C,gr1.10,3,13/05/2023 15:44
2460,13/05/2023 5:43,-37.79954226,144.9700279,Alert-41 B,gr1.10,3,13/05/2023 15:43
2459,13/05/2023 5:43,-37.79958927,144.9700205,Alert-41 B,gr1.10,3,13/05/2023 15:43
2458,13/05/2023 5:43,-37.80018891,144.9699188,Alert-41 A,gr1.10,3,13/05/2023 15:43
2457,13/05/2023 5:39,-37.7981388,144.9703034,Alert-25 A,gr2.10,1,13/05/2023 15:39
2456,13/05/2023 5:39,-37.7981843,144.9702892,Alert-25 A,gr2.10,1,13/05/2023 15:39
2455,13/05/2023 5:39,-37.79644514,144.9692746,Alert-33 A,gr1.10,2,13/05/2023 15:39
2454,13/05/2023 5:39,-37.79640015,144.9692806,Alert-33 A,gr1.10,2,13/05/2023 15:39
2453,13/05/2023 5:38,-37.8002085,144.9699358,Alert-41 A,gr2.10,1,13/05/2023 15:38
2452,13/05/2023 5:38,-37.79814754,144.9702866,Alert-25 A,gr1.10,2,13/05/2023 15:38
2451,13/05/2023 5:37,-37.80020189,144.9699122,Alert-41 A,gr1.10,2,13/05/2023 15:37
2450,13/05/2023 5:30,-37.7968924,144.9692047,Alert-33 B,gr2.05,2,13/05/2023 15:30
2449,13/05/2023 5:30,-37.79643656,144.9692938,Alert-33 A,gr2.05,2,13/05/2023 15:30
2448,13/05/2023 5:30,-37.79639444,144.9692938,Alert-33 A,gr2.05,2,13/05/2023 15:30
2447,13/05/2023 5:29,-37.79777716,144.9703615,Alert-25 B,gr2.05,2,13/05/2023 15:29
2446,13/05/2023 5:29,-37.7978317,144.970356,Alert-25 B,gr2.05,2,13/05/2023 15:29
2445,13/05/2023 5:29,-37.79818177,144.9703073,Alert-25 A,gr2.05,2,13/05/2023 15:29
2444,13/05/2023 5:28,-37.79904439,144.9701442,Alert-41 C,gr2.05,2,13/05/2023 15:28
2443,13/05/2023 5:28,-37.79956152,144.9700601,Alert-41 B,gr2.05,2,13/05/2023 15:28
